Date,Day,Origin,Group,Mark,Sex,Fish_ID,Notes,Tot_Dist_cm,Velocity_Mean_cm_s,High_Zone_Dur,Mid_Zone_Dur,Low_Zone_Dur,Freezing_Dur,Arena_Dur
7/02/2020,Friday,WCA,Within_Control,Red.Gre,male,a9680,,2149.51,4.88525,82.48,96.72,260.88,0.72,440.08
7/02/2020,Friday,WCA,Within_Control,Ora.Red,male,a9606,"Jumped, may need to run again",923.249,2.09829,0,11.92,428.16,2.4,440.08
7/02/2020,Friday,WCA,Within_Control,Whi.Yel,female,a9599,,1962.13,4.45938,252.8,112,75.28,0.72,440.08
7/02/2020,Friday,WCA,Within_Control,Gre.Bla,male,a9554,,928.362,2.10991,45.6,36.8,357.68,145.44,440.08
7/02/2020,Friday,WCA,Within_Control,Gre.Pur,female,a9556,,2375.08,5.3979,106.32,142.56,191.2,0.16,440.08
7/02/2020,Friday,WCA,Within_Control,Pur.Red,female,a9566,,1887.34,4.28941,99.44,103.84,236.8,0.24,440.08
7/02/2020,Friday,WCA,Within_Control,Pur._,male,a9562,,232.79,0.529068,0,0,440.08,344.72,440.08
7/02/2020,Friday,WCA,Within_Control,Red.Yel,female,a9678,,1456.09,3.30929,66.72,51.92,321.44,0.88,440.08
7/02/2020,Friday,WCA,Within_Control,Ora.Gre,female,a9603,,1517.76,3.44945,95.44,106.8,237.84,0.56,440.08
7/02/2020,Friday,WCA,Within_Control,Red.Whi,female,a9679,,1134.51,2.57842,34.24,26.56,379.28,3.52,440.08
7/02/2020,Friday,WCA,Within_Control,Red.Bla,male,a9676,,602.528,1.36938,0,0,440.08,208.56,440.08
7/02/2020,Friday,WCA,Within_Control,Red.Pin,female,a9673,,1963.34,4.46215,67.92,55.68,316.48,1.12,440.08
7/02/2020,Friday,WCA,Within_Control,Gre.Blu,female,a9553,,2187.93,4.97257,107.12,99.68,233.28,0.4,440.08
7/02/2020,Friday,WCA,Within_Control,Ora.Blu,female,a9607,,1876.22,4.26413,79.92,108,252.16,0.16,440.08
7/02/2020,Friday,WCA,Within_Control,Pin.Gre,male,a9588,,1886.37,4.28721,126.56,136.4,177.12,1.36,440.08
7/02/2020,Friday,WCA,Within_Control,Whi.Bla,female,a9598,,1995.07,4.53425,48.72,78.96,312.4,0.24,440.08
7/02/2020,Friday,WCA,Within_Control,Red.Ora,male,a9681,,772.072,1.75471,0,0,440.08,67.04,440.08
7/02/2020,Friday,WCA,Within_Control,Ora.Ora,male,a9706,,1811.46,4.11771,60.16,81.28,298.56,0.56,440
7/02/2020,Friday,WCA,Within_Control,Ora.Whi,male,a9611,,1936.56,4.40127,68.8,46.88,324.4,0.4,440.08
7/02/2020,Friday,WCA,Within_Control,Gre.Bro,male,a9558,,2937.58,6.67633,213.12,148.4,78.56,0.32,440.08
7/02/2020,Friday,MB,Maternal,Pin.Yel,female,a9854,,2133.94,4.84986,147.84,129.36,162.88,0.32,440.08
7/02/2020,Friday,MB,Maternal,_.Red,male,a9849,,1485.52,3.37618,40.8,62.24,337.04,2.24,440.08
7/02/2020,Friday,MB,Maternal,Bla.Gre,female,a9787,,1798.74,4.08804,206.4,147.12,86.56,0.32,440.08
7/02/2020,Friday,MB,Maternal,Red.Pin,male,a9755,,1976.73,4.49258,120.48,86.56,233.04,0.16,440.08
7/02/2020,Friday,MB,Maternal,Ora.Pur,male,a9821,,2701.74,6.14032,222.72,90.08,127.28,0.4,440.08
7/02/2020,Friday,MB,Maternal,Yel.Yel,male,a9765,,1723.82,3.91778,42.88,52.32,344.88,1.76,440.08
7/02/2020,Friday,MB,Maternal,Yel.Ora,female,a9778,,2309.1,5.24795,147.36,93.68,199.04,0.08,440.08
7/02/2020,Friday,MB,Maternal,_.Ora,female,a10198,,2267.65,5.15376,159.84,123.04,157.2,0.32,440.08
7/02/2020,Friday,MB,Maternal,Gre.Ora,female,a9868,,1783.96,4.05446,50.8,43.28,346,1.44,440.08
7/02/2020,Friday,MB,Maternal,Blu.Gre,male,a9846,,2056.54,4.67396,31.28,34.16,374.64,0.56,440.08
7/02/2020,Friday,MB,Maternal,Yel.Bla,female,a9777,,1919.09,4.36157,24.88,28.88,386.32,0.48,440.08
