Arena,Trial,Water,Water_Time,Date,Day,Group,Tank,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
1,1,water1,1,7/02/2020,Friday1,WCA,Within Control,Red.Gre,male,a9680,NA,2149.51,82.48,96.72,260.88,0.72,440.08,124.56,18
2,1,water1,1,7/02/2020,Friday1,WCA,Within Control,Ora.Red,male,a9606,"Jumped, may need to run again",923.249,0,11.92,428.16,2.4,440.08,,0
3,1,water1,1,7/02/2020,Friday1,WCA,Within Control,Whi.Yel,female,a9599,NA,1962.13,252.8,112,75.28,0.72,440.08,0,20
4,1,water1,1,7/02/2020,Friday1,WCA,Within Control,Gre.Bla,male,a9554,NA,928.362,45.6,36.8,357.68,145.44,440.08,381.2,2
5,1,water1,1,7/02/2020,Friday1,WCA,Within Control,Gre.Pur,female,a9556,NA,2375.08,106.32,142.56,191.2,0.16,440.08,32.32,32
6,1,water1,1,7/02/2020,Friday1,WCA,Within Control,Pur.Red,female,a9566,NA,1887.34,99.44,103.84,236.8,0.24,440.08,81.04,11
1,2,water1,2,7/02/2020,Friday1,WCA,Within Control,Pur._,male,a9562,NA,232.79,0,0,440.08,344.72,440.08,,0
2,2,water1,2,7/02/2020,Friday1,WCA,Within Control,Red.Yel,female,a9678,NA,1456.09,66.72,51.92,321.44,0.88,440.08,0,7
3,2,water1,2,7/02/2020,Friday1,WCA,Within Control,Ora.Gre,female,a9603,NA,1517.76,95.44,106.8,237.84,0.56,440.08,247.04,14
4,2,water1,2,7/02/2020,Friday1,WCA,Within Control,Red.Whi,female,a9679,NA,1134.51,34.24,26.56,379.28,3.52,440.08,0,8
5,2,water1,2,7/02/2020,Friday1,WCA,Within Control,Red.Bla,male,a9676,NA,602.528,0,0,440.08,208.56,440.08,,0
6,2,water1,2,7/02/2020,Friday1,WCA,Within Control,Red.Pin,female,a9673,NA,1963.34,67.92,55.68,316.48,1.12,440.08,0,11
1,3,water1,3,7/02/2020,Friday1,WCA,Within Control,Gre.Blu,female,a9553,NA,2187.93,107.12,99.68,233.28,0.4,440.08,74.64,17
2,3,water1,3,7/02/2020,Friday1,WCA,Within Control,Ora.Blu,female,a9607,NA,1876.22,79.92,108,252.16,0.16,440.08,182.56,18
3,3,water1,3,7/02/2020,Friday1,WCA,Within Control,Pin.Gre,male,a9588,NA,1886.37,126.56,136.4,177.12,1.36,440.08,92.08,28
4,3,water1,3,7/02/2020,Friday1,WCA,Within Control,Whi.Bla,female,a9598,NA,1995.07,48.72,78.96,312.4,0.24,440.08,137.84,17
5,3,water1,3,7/02/2020,Friday1,WCA,Within Control,Red.Ora,male,a9681,NA,772.072,0,0,440.08,67.04,440.08,,0
6,3,water1,3,7/02/2020,Friday1,WCA,Within Control,Ora.Ora,male,a9706,NA,1811.46,60.16,81.28,298.56,0.56,440,187.44,12
1,4,water1,4,7/02/2020,Friday1,WCA,Within Control,Ora.Whi,male,a9611,NA,1936.56,68.8,46.88,324.4,0.4,440.08,302.8,7
2,4,water1,4,7/02/2020,Friday1,WCA,Within Control,Gre.Bro,male,a9558,NA,2937.58,213.12,148.4,78.56,0.32,440.08,16.56,46
