Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,latency_high,freq_high
1,2/03/2020,Monday,WCB,Blu.Bro,female,a9579,"First two tanks started delayed due to evacuation (30 mins, water wasn't changed)Wifi connection lost, may need to change arena settings for following trials",1305.95,12.64,11.2,416.24,1.28,440.08,275.04,3
2,,,WCB,Blu.Gre,female,a9578,,1505.65,61.92,63.36,314.8,0.32,440.08,184.4,8
3,,,WCB,Bro.Bla,female,a9700,,1857.7,150.48,122.32,167.28,0.48,440.08,83.68,25
4,,,WCB,Ora.Gre,male,a9612,,277.191,0,0,440.08,281.92,440.08,-,0
5,,,WCB,Red.Bro,male,a9677,,363.707,0,0,440.08,202.96,440.08,-,0
6,,,WCB,Blu.Pur,male,a9581,,1190.75,124.8,40.88,274.4,4.24,440.08,263.36,12
1,,,WCB,Pin.Yel,male,a9587,,2022.54,86.56,76.24,277.28,0.4,440.08,222.4,14
2,,,WCB,Blu.Blu,male,a9575,,2133.93,11.2,144.16,284.72,0.48,440.08,225.2,5
3,,,WCB,_.Pur,female,a9605,,1177.8,36.48,65.2,338.4,0.16,440.08,356,3
4,,,WCB,Pin.Whi,male,a9590,,48.4961,0,0.56,439.52,394.08,440.08,-,0
5,,,WCB,Ora.Bro,male,a9610,,1289.13,0,0,440.08,0.64,440.08,-,0
6,,,WCB,Blu.Whi,female,a9580,,1098.81,2.32,30.64,407.12,13.84,440.08,335.76,3
1,,,WCB,Whi.Ora,female,a9596,,1921.7,52.48,77.28,310.32,0,440.08,302.72,11
2,,,WCB,Blu.Ora,female,a9583,,798.265,17.6,26.56,395.92,153.6,440.08,391.84,4
3,,,WCB,Ora.Bla,female,a9608,,1430.99,288.08,97.76,54.24,0.48,440.08,0,14
4,,,WCB,Pur.Pin,male,a9686,,1086.23,0,0,440.08,12.96,440.08,-,0
5,,,WCB,Bro.Gre,female,a9704,,1981.84,73.44,101.04,265.6,0.72,440.08,134.72,15
6,,,WCB,Yel.Yel,female,a9613,,1014.11,0,0,440.08,1.84,440.08,-,0
