Arena,Date,Day,Group,Mark,Sex,Fish_ID,Notes,tot_dist,high_dur,mid_dur,low_dur,freezing_dur,arena_dur,freq_high,latency_high
1,6/03/2020,Friday,WCA,Ora.Gre,female,a9603,,1947.36,129.6,180.4,126.24,0.16,436.24,27,0
2,,,WCA,Red.Yel,female,a9678,,2345.74,173.6,114.48,151.92,1.6,440,20,0
3,,,WCA,Gre.Bro,male,a9558,,3177,220.8,163.68,55.6,0.88,440.08,34,0
4,,,WCA,Pur.Red,female,a9566,,2261.07,76.08,118.8,245.2,0.24,440.08,15,0
5,,,WCA,Ora.Ora,male,a9706,,1181.03,48.08,59.6,250.72,3.12,358.4,33,2.48
6,,,WCA,Gre.Blu,female,a9553,Jumped,1012.35,60.24,49.84,290,0.32,400.08,30,136.24
7,,,WCA,Red.Whi,female,a9679,,1969.71,120.56,83.12,211.12,1.12,414.8,57,88.88
8,,,WCA,Pin.Gre,male,a9588,,1206.16,302.96,54.72,70.32,0.8,428,45,10
1,,,WCA,Pur._,male,a9562,,478.966,0,0,440.08,2.64,440.08,0,-
2,,,WCA,Blu.Yel,female,a9577,,2381.85,112.4,165.6,161.76,0.16,439.76,19,111.84
3,,,WCA,Red.Bla,male,a9676,,631.611,0,0,439.76,241.76,439.76,0,-
4,,,WCA,Red.Pin,female,a9673,,2968.93,89.76,221.12,129.12,0.08,440,32,0
5,,,WCA,Red.Ora,male,a9681,,1890.36,19.6,28.56,377.04,0.72,425.2,4,391.6
6,,,WCA,Ora.Whi,male,a9611,,1812.03,30.4,59.44,349.52,4.8,439.36,8,316.72
7,,,WCA,Gre.Bla,male,a9554,,2549.57,165.12,94.08,180.88,0.08,440.08,18,94.48
8,,,WCA,Ora.Red,male,a9606,,1529.12,100.32,64.96,236.56,0.24,401.84,48,190.4
1,,,WCA,Red.Gre,male,a9680,,2622.08,47.6,84.32,308.16,0,440.08,10,0
2,,,WCA,Whi.Yel,female,a9599,,2874.41,84.8,95.04,260.24,0,440.08,15,69.12
3,,,WCA,Ora.Blu,female,a9607,,2357.29,139.36,116,183.76,0.16,439.12,24,88.88
4,,,WCA,Gre.Pur,female,a9556,,3060.84,59.6,154.72,225.76,0,440.08,31,37.04
5,,,MB,Red.Pin,male,a9755,,1985.64,191.6,90.88,132.48,0.56,414.96,49,16.24
