Origin,Mark,Sex,Fish_ID,Glucose,Meter,Photo_ID,Weight,Group
MB,Bla.Gre,female,a9787,3.8,1,,0.657,Maternal
MB,Bla.Gre,female,a9787,3.6,2,,0.657,Maternal
MB,Bla.Gre,female,a9787,3.4,3,,0.657,Maternal
MB,Blu.Gre,male,a9846,2.4,1,,0.265,Maternal
MB,Blu.Gre,male,a9846,2.2,2,,0.265,Maternal
MB,Blu.Gre,male,a9846,3,3,,0.265,Maternal
MB,Yel.Bla,female,a9777,3.8,1,,0.631,Maternal
MB,Yel.Bla,female,a9777,3.5,2,,0.631,Maternal
MB,Yel.Bla,female,a9777,3.8,3,,0.631,Maternal
MB,Red.Bla,male,a9756,2.2,1,,0.316,Maternal
MB,Red.Bla,male,a9756,2.2,2,,0.316,Maternal
MB,Red.Bla,male,a9756,2.2,3,,0.316,Maternal
MB,_.Red,male,a9849,2.4,1,,0.276,Maternal
MB,_.Red,male,a9849,2.2,2,,0.276,Maternal
MB,_.Red,male,a9849,2.1,3,,0.276,Maternal
MB,Pur.Pin,male,a9824,1.6,2,,0.365,Maternal
MB,Pur.Pin,male,a9824,1.9,3,,0.365,Maternal
MB,Gre.Pur,female,a9867,2.9,1,,0.564,Maternal
MB,Gre.Pur,female,a9867,2.8,3,,0.564,Maternal
MB,Ora.Pur,male,a9821,1.9,1,,0.456,Maternal
MB,Ora.Pur,male,a9821,2.2,2,,0.456,Maternal
MB,Ora.Pur,male,a9821,2.2,3,,0.456,Maternal
MB,Yel.Ora,female,a9778,4.7,1,,0.525,Maternal
MB,Yel.Ora,female,a9778,4.6,2,,0.525,Maternal
MB,Yel.Ora,female,a9778,4.5,3,,0.525,Maternal
MB,Pin.Yel,female,a9854,4.6,1,,0.61,Maternal
MB,Pin.Yel,female,a9854,4.7,2,,0.61,Maternal
MB,Pin.Yel,female,a9854,4.4,3,,0.61,Maternal
MB,Yel.Yel,male,a9765,3.2,1,,0.365,Maternal
MB,Yel.Yel,male,a9765,3.5,2,,0.365,Maternal
MB,Yel.Yel,male,a9765,2.9,3,,0.365,Maternal
MB,Ora.Yel,male,a9813,0.2,1,,0.418,Maternal
MB,Ora.Yel,male,a9813,3.1,2,,0.418,Maternal
MB,Ora.Yel,male,a9813,2.9,3,,0.418,Maternal
MB,Gre.Ora,female,a9868,0.3,1,,0.609,Maternal
MB,Gre.Ora,female,a9868,3.4,2,,0.609,Maternal
MB,Gre.Ora,female,a9868,3.4,3,,0.609,Maternal
MB,_._,female,a9774,4.2,1,,0.668,Maternal
MB,_._,female,a9774,4.2,2,,0.668,Maternal
MB,_._,female,a9774,4.2,3,,0.668,Maternal
MB,Red._,male,a9752,5,1,,0.477,Maternal
MB,Red._,male,a9752,4.9,2,,0.477,Maternal
MB,Red._,male,a9752,4.7,3,,0.477,Maternal
MB,Red.Pin,male,a9755,2.7,1,,0.374,Maternal
MB,Red.Pin,male,a9755,2.6,2,,0.374,Maternal
MB,Red.Pin,male,a9755,2.5,3,,0.374,Maternal
MB,_.Ora,female,a10198,2.2,1,,0.478,Maternal
MB,_.Ora,female,a10198,2.9,2,,0.478,Maternal
MB,_.Ora,female,a10198,2.8,3,,0.478,Maternal
MB,Blu.Blu,male,a9843,2.3,1,,0.227,Maternal
MB,Blu.Blu,male,a9843,2,2,,0.227,Maternal
MB,Blu.Blu,male,a9843,2.3,3,,0.227,Maternal
MB,_.Blu,male,a9844,3.2,1,,0.239,Maternal
MB,_.Blu,male,a9844,3.2,2,,0.239,Maternal
MB,_.Blu,male,a9844,3.4,3,,0.239,Maternal
MB,Pin.Whi,female,a9862,3.2,1,,0.575,Maternal
MB,Pin.Whi,female,a9862,3.2,2,,0.575,Maternal
MB,Pin.Whi,female,a9862,3.2,3,,0.575,Maternal
WTB,Pur.Gre,male,a10074,2.1,1,,0.462,Within Treatment
WTB,Pur.Gre,male,a10074,1.9,2,,0.462,Within Treatment
WTB,Pur.Gre,male,a10074,1.9,3,,0.462,Within Treatment
WTB,_.Blu,female,a10040,2.3,1,,0.565,Within Treatment
WTB,_.Blu,female,a10040,2.1,2,,0.565,Within Treatment
WTB,_.Blu,female,a10040,1.9,3,,0.565,Within Treatment
WTB,Pin.Bro,male,a10088,1.3,1,,0.258,Within Treatment
WTB,Pin.Bro,male,a10088,1.7,2,,0.258,Within Treatment
WTB,Pin.Bro,male,a10088,1.6,3,,0.258,Within Treatment
WTB,Ora.Ora,female,a10060,2.6,1,,0.751,Within Treatment
WTB,Ora.Ora,female,a10060,2.4,2,,0.751,Within Treatment
WTB,Ora.Ora,female,a10060,2.5,3,,0.751,Within Treatment
WTB,Gre.Bro,male,a10044,1.8,1,,0.395,Within Treatment
WTB,Gre.Bro,male,a10044,1.3,2,,0.395,Within Treatment
WTB,Gre.Bro,male,a10044,1.6,3,,0.395,Within Treatment
WTB,Pur.Red,female,a10076,2.7,1,,0.767,Within Treatment
WTB,Pur.Red,female,a10076,2.6,2,,0.767,Within Treatment
WTB,Pur.Red,female,a10076,2.6,3,,0.767,Within Treatment
WTB,Gre.Pur,male,a10043,3.8,1,,0.337,Within Treatment
WTB,Gre.Pur,male,a10043,3.3,2,,0.337,Within Treatment
WTB,Gre.Pur,male,a10043,3.2,3,,0.337,Within Treatment
WTB,Red.Bro,male,a10169,1.6,2,,0.412,Within Treatment
WTB,Red.Bro,male,a10169,2.1,3,,0.412,Within Treatment
WTB,Blu.Ora,female,a10059,2.3,1,,0.668,Within Treatment
WTB,Blu.Ora,female,a10059,2.4,2,,0.668,Within Treatment
WTB,Blu.Ora,female,a10059,2.2,3,,0.668,Within Treatment
WTB,Ora.Pin,female,a10063,4.7,1,,0.643,Within Treatment
