"000:00:00.000","Info","2020-02-25 01:54:08","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a9761 a9839 a9763 a9754"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","533988"
"000:35:30.599","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.600","","","","","","ZONE_DISTANCES",10145,24020,13783,24352,10752,11376,1857,31880
"000:35:30.601","","","","","","ZONE_TIMERS",92.669,207.411,114.654,185.426,184.545,115.535,8.814,291.265
"000:35:30.601","","","","","","ZONE_COUNTERS",45,46,38,39,47,47,11,11
"000:35:30.602","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.602","","","","","","TOTAL_ARENA_DISTANCES",34164,38134,22129,33737
"000:40:30.651","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.651","","","","","","ZONE_DISTANCES",24033,12322,10447,20194,10360,4595,33331,610
"000:40:30.652","","","","","","ZONE_TIMERS",207.699,92.352,88.334,211.716,231.734,68.316,293.758,6.292
"000:40:30.653","","","","","","ZONE_COUNTERS",46,47,20,21,36,36,1,1
"000:40:30.653","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.654","","","","","","TOTAL_ARENA_DISTANCES",36355,30642,14955,33941
"000:45:30.724","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.725","","","","","","ZONE_DISTANCES",3888,27452,15930,20524,2455,12357,1551,35099
"000:45:30.725","","","","","","ZONE_TIMERS",32.049,268.023,135.026,165.046,33.465,266.607,4.286,295.786
"000:45:30.726","","","","","","ZONE_COUNTERS",29,30,37,38,22,22,4,4
"000:45:30.726","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.727","","","","","","TOTAL_ARENA_DISTANCES",31340,36453,14812,36650
"000:50:30.804","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.805","","","","","","ZONE_DISTANCES",23835,7599,13048,19016,10557,2254,27127,788
"000:50:30.805","","","","","","ZONE_TIMERS",233.294,66.786,104.776,195.303,271.413,28.666,293.562,6.517
"000:50:30.806","","","","","","ZONE_COUNTERS",36,37,28,29,32,32,1,1
"000:50:30.807","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.807","","","","","","TOTAL_ARENA_DISTANCES",31434,32064,12811,27914
