"000:00:00.000","Info","2020-01-16 01:54:15","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a10088 a10089 a10074 a10081"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.625","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.626","","","","","","ZONE_DISTANCES",25451,18055,28363,20630,13033,13432,7077,31777
"000:35:30.626","","","","","","ZONE_TIMERS",237.172,62.889,224.576,75.486,165.090,134.971,46.382,253.679
"000:35:30.627","","","","","","ZONE_COUNTERS",44,44,62,61,20,20,37,38
"000:35:30.627","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.627","","","","","","TOTAL_ARENA_DISTANCES",43506,48993,26465,38855
"000:40:30.701","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.702","","","","","","ZONE_DISTANCES",17492,18597,18052,22256,10197,2736,17005,21251
"000:40:30.702","","","","","","ZONE_TIMERS",140.365,159.710,76.327,223.747,279.626,20.448,119.748,180.327
"000:40:30.702","","","","","","ZONE_COUNTERS",38,39,50,49,7,6,45,45
"000:40:30.703","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.703","","","","","","TOTAL_ARENA_DISTANCES",36089,40308,12933,38256
"000:45:30.790","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.790","","","","","","ZONE_DISTANCES",18606,16922,20091,16494,6296,4811,3263,33812
"000:45:30.791","","","","","","ZONE_TIMERS",204.002,96.086,237.138,62.950,270.862,29.225,19.585,280.503
"000:45:30.791","","","","","","ZONE_COUNTERS",39,39,52,51,14,13,24,24
"000:45:30.791","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.792","","","","","","TOTAL_ARENA_DISTANCES",35528,36585,11107,37074
"000:50:30.860","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.860","","","","","","ZONE_DISTANCES",15396,19501,14214,14302,8810,2372,18634,22272
"000:50:30.861","","","","","","ZONE_TIMERS",146.367,153.702,43.482,256.586,233.673,66.396,118.234,181.835
"000:50:30.861","","","","","","ZONE_COUNTERS",30,29,38,38,8,8,46,47
"000:50:30.861","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.862","","","","","","TOTAL_ARENA_DISTANCES",34898,28517,11183,40906
"000:55:30.953","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.953","","","","","","ZONE_DISTANCES",11560,7929,19302,19976,6372,7577,8968,29225
"000:55:30.954","","","","","","ZONE_TIMERS",232.720,67.372,208.413,91.679,167.575,132.517,65.653,234.439
"000:55:30.954","","","","","","ZONE_COUNTERS",21,21,52,53,11,12,33,34
"000:55:30.954","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.955","","","","","","TOTAL_ARENA_DISTANCES",19489,39278,13949,38193
"001:00:31.027","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.027","","","","","","ZONE_DISTANCES",12341,12442,16948,20719,5234,14863,13782,29561
"001:00:31.028","","","","","","ZONE_TIMERS",168.442,131.632,91.026,209.048,32.775,267.298,58.619,241.455
"001:00:31.028","","","","","","ZONE_COUNTERS",24,24,43,43,16,17,39,40
"001:00:31.029","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.029","","","","","","TOTAL_ARENA_DISTANCES",24783,37667,20097,43343
"001:00:31.123","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.123","","","","","","ZONE_DISTANCES",100846,93446,116970,114377,49942,45791,68729,167898
"001:00:31.124","","","","","","ZONE_TIMERS",1129.076,671.393,880.970,919.498,1149.605,650.863,428.223,1372.245
"001:00:31.124","","","","","","ZONE_COUNTERS",194,193,294,293,73,74,223,224
"001:00:31.125","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.125","","","","","","TOTAL_ARENA_DISTANCES",194292,231347,95733,236627
"001:03:03.131","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:03.131","","","","","","ZONE_DISTANCES",7936,10886,7738,7890,0,665,1610,6155
"001:03:03.132","","","","","","ZONE_TIMERS",21.301,38.741,34.964,25.078,0.000,60.042,10.990,49.052
"001:03:03.132","","","","","","ZONE_COUNTERS",27,27,21,21,0,1,6,6
"001:03:03.132","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:03.133","","","","","","TOTAL_ARENA_DISTANCES",18822,15628,665,7765
"001:04:03.183","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:04:03.184","","","","","","ZONE_DISTANCES",6455,2684,8355,8803,123,914,2514,5981
"001:04:03.185","","","","","","ZONE_TIMERS",52.664,7.387,22.768,37.283,0.294,59.758,12.313,47.739
"001:04:03.185","","","","","","ZONE_COUNTERS",11,11,23,23,1,2,7,8
"001:04:03.186","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:04:03.187","","","","","","TOTAL_ARENA_DISTANCES",9139,17159,1038,8495
"001:05:03.238","","","","PROBE","PROBE3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:05:03.239","","","","","","ZONE_DISTANCES",5223,7000,7241,6699,0,0,293,5998
"001:05:03.240","","","","","","ZONE_TIMERS",22.565,37.489,38.379,21.675,0.000,60.054,1.628,58.425
"001:05:03.241","","","","","","ZONE_COUNTERS",16,16,18,19,0,1,1,2
"001:05:03.242","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:05:03.242","","","","","","TOTAL_ARENA_DISTANCES",12223,13940,0,6291
"001:06:03.327","","","","PROBE","PROBE4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:06:03.328","","","","","","ZONE_DISTANCES",5198,2964,5162,5697,0,0,415,5129
"001:06:03.328","","","","","","ZONE_TIMERS",44.448,15.640,19.725,40.363,0.000,60.089,2.535,57.554
"001:06:03.328","","","","","","ZONE_COUNTERS",8,9,14,15,0,1,1,2
"001:06:03.329","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:06:03.329","","","","","","TOTAL_ARENA_DISTANCES",8162,10858,0,5544
"001:07:03.379","","","","PROBE","PROBE5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:07:03.380","","","","","","ZONE_DISTANCES",4297,6131,5720,5330,643,4514,147,5985
"001:07:03.380","","","","","","ZONE_TIMERS",18.354,41.698,36.292,23.759,5.290,54.761,1.232,58.819
"001:07:03.380","","","","","","ZONE_COUNTERS",16,17,15,15,2,3,2,3
"001:07:03.381","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.381","","","","","","TOTAL_ARENA_DISTANCES",10428,11050,5157,6132
"001:07:03.486","","","","PROBE","TOTALPROBE","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:07:03.487","","","","","","ZONE_DISTANCES",29109,29665,34216,34419,766,6093,4979,29248
"001:07:03.489","","","","","","ZONE_TIMERS",159.334,140.957,152.130,148.161,5.584,294.707,28.699,271.591
"001:07:03.490","","","","","","ZONE_COUNTERS",77,77,90,90,3,4,17,17
"001:07:03.491","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:07:03.491","","","","","","TOTAL_ARENA_DISTANCES",58774,68635,6859,34227
"001:07:03.492","Info","2020-01-16 03:01:19","Service 'BLUGRE' : Execution end"
