"000:00:00.000","Info","2020-01-20 00:49:23","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a10090 a10070 a10064 a10092"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","A86953"
"000:35:30.672","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.673","","","","","","ZONE_DISTANCES",6706,33790,3363,33379,14686,37399,7250,26858
"000:35:30.673","","","","","","ZONE_TIMERS",40.253,259.790,22.866,277.176,87.352,212.691,64.003,236.040
"000:35:30.674","","","","","","ZONE_COUNTERS",35,35,22,23,100,100,52,52
"000:35:30.674","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.674","","","","","","TOTAL_ARENA_DISTANCES",40495,36742,52085,34108
"000:40:30.718","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.719","","","","","","ZONE_DISTANCES",24793,12559,19226,17541,29679,5678,20352,7358
"000:40:30.719","","","","","","ZONE_TIMERS",205.468,94.577,156.350,143.696,261.302,38.744,225.141,74.904
"000:40:30.720","","","","","","ZONE_COUNTERS",41,41,28,29,53,53,35,35
"000:40:30.720","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.721","","","","","","TOTAL_ARENA_DISTANCES",37352,36768,35357,27710
"000:45:30.777","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.777","","","","","","ZONE_DISTANCES",1576,33575,2651,38634,3278,26123,6056,23737
"000:45:30.778","","","","","","ZONE_TIMERS",15.558,284.499,21.178,278.879,27.924,272.133,58.159,241.899
