"000:00:00.000","Info","2020-01-22 02:50:05","Service 'BLUGRE' : Execution start"
"000:00:00.000","Info","Subject Identification","a9962 a9876 a9880 IGNORE"
"000:00:00.000","Info","Apparatus","Zantiks Unit"
"000:00:00.000","Info","Unit ID","C80C8B"
"000:35:30.678","","","","BASELINE","UNIT1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:35:30.678","","","","","","ZONE_DISTANCES",21249,23921,7261,21228,1453,7668,38382,2204
"000:35:30.679","","","","","","ZONE_TIMERS",146.012,154.044,77.573,222.483,16.068,283.988,299.811,0.245
"000:35:30.679","","","","","","ZONE_COUNTERS",74,74,46,46,15,15,6,5
"000:35:30.680","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:35:30.680","","","","","","TOTAL_ARENA_DISTANCES",45169,28489,9121,40585
"000:40:30.761","","","","BASELINE","UNIT2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:40:30.761","","","","","","ZONE_DISTANCES",23195,25034,17979,9175,5414,5427,67834,9226
"000:40:30.762","","","","","","ZONE_TIMERS",134.307,165.775,201.950,98.132,126.799,173.283,298.582,1.499
"000:40:30.762","","","","","","ZONE_COUNTERS",67,66,35,35,31,32,22,21
"000:40:30.763","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:40:30.763","","","","","","TOTAL_ARENA_DISTANCES",48229,27154,10841,77060
"000:45:30.839","","","","BASELINE","UNIT3","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:45:30.840","","","","","","ZONE_DISTANCES",22700,27175,6997,24664,1989,13997,65365,3884
"000:45:30.840","","","","","","ZONE_TIMERS",140.427,159.650,63.689,236.388,57.576,242.502,299.406,0.672
"000:45:30.841","","","","","","ZONE_COUNTERS",71,71,25,25,14,15,10,9
"000:45:30.841","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:45:30.841","","","","","","TOTAL_ARENA_DISTANCES",49876,31661,15987,69249
"000:50:30.915","","","","BASELINE","UNIT4","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"000:50:30.915","","","","","","ZONE_DISTANCES",21923,27566,14928,18283,1349,11372,68757,0
"000:50:30.916","","","","","","ZONE_TIMERS",111.545,188.530,114.601,185.474,18.021,282.054,300.075,0.000
"000:50:30.916","","","","","","ZONE_COUNTERS",70,71,40,40,7,8,1,0
"000:50:30.917","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:50:30.917","","","","","","TOTAL_ARENA_DISTANCES",49489,33211,12720,68758
"000:55:30.979","","","","BASELINE","UNIT5","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"000:55:30.979","","","","","","ZONE_DISTANCES",22668,27833,10285,21288,6833,23365,85738,9421
"000:55:30.980","","","","","","ZONE_TIMERS",149.257,150.806,103.835,196.227,61.450,238.613,299.183,0.880
"000:55:30.980","","","","","","ZONE_COUNTERS",73,73,54,54,33,33,22,21
"000:55:30.980","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"000:55:30.981","","","","","","TOTAL_ARENA_DISTANCES",50501,31574,30198,95159
"001:00:31.056","","","","BASELINE","UNIT6","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
"001:00:31.056","","","","","","ZONE_DISTANCES",19976,32146,15220,15936,15826,1106,118649,3585
"001:00:31.056","","","","","","ZONE_TIMERS",91.166,208.910,143.206,156.870,288.950,11.126,299.755,0.321
"001:00:31.057","","","","","","ZONE_COUNTERS",63,63,35,36,5,4,9,8
"001:00:31.057","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.058","","","","","","TOTAL_ARENA_DISTANCES",52121,31155,16933,122234
"001:00:31.151","","","","BASELINE","TOTAL6UNITS","VARIABLE","ARENA1_ZONE1","ARENA1_ZONE2","ARENA2_ZONE1","ARENA2_ZONE2","ARENA3_ZONE1","ARENA3_ZONE2","ARENA4_ZONE1","ARENA4_ZONE2"
"001:00:31.152","","","","","","ZONE_DISTANCES",131711,163675,72670,110574,32864,62935,444725,28320
"001:00:31.152","","","","","","ZONE_TIMERS",772.716,1027.723,704.857,1095.582,568.872,1231.567,1796.821,3.618
"001:00:31.153","","","","","","ZONE_COUNTERS",415,416,233,233,104,103,65,64
"001:00:31.153","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:00:31.153","","","","","","TOTAL_ARENA_DISTANCES",295386,183244,95800,473045
"001:03:02.948","","","","PROBE","PROBE1","VARIABLE","ARENA1_ZONE1_BLUCS","ARENA1_ZONE2_GRENON","ARENA2_ZONE1_BLUCS","ARENA2_ZONE2_GRENON","ARENA3_ZONE1_BLUCS","ARENA3_ZONE2_GRENON","ARENA4_ZONE1_BLUCS","ARENA4_ZONE2_GRENON"
"001:03:02.948","","","","","","ZONE_DISTANCES",265,7399,162,4527,1888,5265,20319,432
"001:03:02.949","","","","","","ZONE_TIMERS",1.226,58.822,1.954,58.094,14.608,45.440,60.008,0.040
"001:03:02.949","","","","","","ZONE_COUNTERS",2,3,3,3,12,12,2,1
"001:03:02.950","","","","","","","ARENA1","ARENA2","ARENA3","ARENA4"
"001:03:02.950","","","","","","TOTAL_ARENA_DISTANCES",7663,4688,7153,20751
"001:04:03.005","","","","PROBE","PROBE2","VARIABLE","ARENA1_ZONE1_GRENON","ARENA1_ZONE2_BLUCS","ARENA2_ZONE1_GRENON","ARENA2_ZONE2_BLUCS","ARENA3_ZONE1_GRENON","ARENA3_ZONE2_BLUCS","ARENA4_ZONE1_GRENON","ARENA4_ZONE2_BLUCS"
