Sex,Fish_ID,Tank
male,a9562,Within_Control
male,a9554,Within_Control
female,a9553,Within_Control
male,a9558,Within_Control
female,a9556,Within_Control
female,a9607,Within_Control
female,a9603,Within_Control
male,a9706,Within_Control
male,a9606,Within_Control
male,a9611,Within_Control
male,a9588,Within_Control
female,a9566,Within_Control
male,a9676,Within_Control
male,a9680,Within_Control
male,a9681,Within_Control
female,a9673,Within_Control
female,a9679,Within_Control
female,a9678,Within_Control
female,a9598,Within_Control
female,a9599,Within_Control
male,a9582,Within_Control
female,a9605,Within_Control
male,a9575,Within_Control
female,a9579,Within_Control
female,a9578,Within_Control
female,a9583,Within_Control
male,a9581,Within_Control
female,a9580,Within_Control
female,a9700,Within_Control
female,a9704,Within_Control
female,a9608,Within_Control
male,a9610,Within_Control
male,a9612,Within_Control
male,a9590,Within_Control
male,a9587,Within_Control
male,a9687,Within_Control
male,a9686,Within_Control
male,a9677,Within_Control
female,a9596,Within_Control
female,a9613,Within_Control
male,a10077,Within_Treatment
female,a10039,Within_Treatment
female,a10046,Within_Treatment
male,a10055,Within_Treatment
male,a10201,Within_Treatment
female,a10041,Within_Treatment
female,a10045,Within_Treatment
female,a10036,Within_Treatment
male,a10070,Within_Treatment
male,a10064,Within_Treatment
male,a10092,Within_Treatment
male,a10090,Within_Treatment
female,a10087,Within_Treatment
female,a10079,Within_Treatment
female,a10164,Within_Treatment
male,a10166,Within_Treatment
female,a10172,Within_Treatment
female,a10158,Within_Treatment
male,a10157,Within_Treatment
male,a10095,Within_Treatment
female,a10040,Within_Treatment
male,a10096,Within_Treatment
female,a10059,Within_Treatment
male,a10044,Within_Treatment
male,a10043,Within_Treatment
male,a10037,Within_Treatment
female,a10060,Within_Treatment
female,a10063,Within_Treatment
male,a10088,Within_Treatment
male,a10089,Within_Treatment
male,a10074,Within_Treatment
female,a10081,Within_Treatment
female,a10076,Within_Treatment
male,a10155,Within_Treatment
male,a10169,Within_Treatment
male,a10152,Within_Treatment
female,a10159,Within_Treatment
female,a10160,Within_Treatment
female,a10154,Within_Treatment
female,a10097,Within_Treatment
female,a9917,Paternal
male,a9873,Paternal
female,a9922,Paternal
female,a9887,Paternal
male,a9919,Paternal
female,a9921,Paternal
male,a9881,Paternal
female,a9874,Paternal
female,a9876,Paternal
male,a9880,Paternal
male,a9963,Paternal
female,a9962,Paternal
female,a9961,Paternal
male,a9960,Paternal
female,a9957,Paternal
female,a9958,Paternal
male,a9956,Paternal
female,a9929,Paternal
male,a9931,Paternal
male,a9926,Paternal
female,a9964,Paternal
male,a9981,Paternal
female,a9903,Paternal
female,a9923,Paternal
male,a9973,Paternal
male,a9983,Paternal
male,a9975,Paternal
male,a9908,Paternal
male,a9937,Paternal
female,a9910,Paternal
female,a9955,Paternal
female,a9952,Paternal
female,a9953,Paternal
male,a9941,Paternal
male,a9949,Paternal
male,a9947,Paternal
female,a9924,Paternal
female,a9927,Paternal
male,a9901,Paternal
female,a9899,Paternal
female,a10198,Maternal
male,a9752,Maternal
male,a9754,Maternal
male,a9755,Maternal
male,a9756,Maternal
female,a9758,Maternal
female,a9759,Maternal
male,a9760,Maternal
female,a9761,Maternal
female,a9762,Maternal
male,a9763,Maternal
male,a9764,Maternal
male,a9765,Maternal
female,a9774,Maternal
female,a9777,Maternal
female,a9778,Maternal
female,a9787,Maternal
male,a9793,Maternal
female,a9794,Maternal
female,a9796,Maternal
male,a9800,Maternal
male,a9803,Maternal
female,a9804,Maternal
male,a9808,Maternal
female,a9809,Maternal
male,a9813,Maternal
male,a9821,Maternal
male,a9824,Maternal
female,a9839,Maternal
male,a9843,Maternal
male,a9844,Maternal
female,a9845,Maternal
male,a9846,Maternal
female,a9848,Maternal
male,a9849,Maternal
female,a9854,Maternal
male,a9858,Maternal
female,a9862,Maternal
female,a9867,Maternal
female,a9868,Maternal
