Sex,Fish_ID,Tank,Weight(g)
female,a9804,Maternal,0.488
male,a9760,Maternal,0.48
female,a9848,Maternal,0.576
female,a9759,Maternal,0.625
male,a9858,Maternal,0.326
female,a9794,Maternal,0.35
female,a9845,Maternal,0.471
female,a9809,Maternal,0.478
male,a9793,Maternal,0.283
female,a9796,Maternal,0.473
male,a9870,Maternal,0.307
male,a9855,Maternal,0.275
male,a9764,Maternal,0.504
female,a9839,Maternal,0.583
female,a9837,Maternal,0.412
male,a9803,Maternal,0.414
male,a9808,Maternal,0.387
male,a9865,Maternal,0.157
male,a9800,Maternal,0.297
male,a9763,Maternal,0.416
female,a9761,Maternal,0.511
female,a9762,Maternal,0.542
male,a9754,Maternal,0.428
female,a9758,Maternal,0.776
female,a10199,Maternal,0.392
male,a9755,Maternal,0.368
female,a9829,Maternal,0.404
male,a9849,Maternal,0.25
female,a9778,Maternal,0.5
female,a10198,Maternal,0.431
male,a9843,Maternal,0.258
male,a9765,Maternal,0.412
male,a9846,Maternal,0.275
male,a9824,Maternal,0.37
male,a9817,Maternal,0.349
male,a9752,Maternal,0.523
male,a9756,Maternal,0.327
male,a9844,Maternal,0.229
female,a9774,Maternal,0.692
female,a9854,Maternal,0.56
female,a9867,Maternal,0.529
male,a9813,Maternal,0.364
female,a9777,Maternal,0.577
female,a9787,Maternal,0.574
female,a9820,Maternal,0.291
female,a9868,Maternal,0.549
female,a9862,Maternal,0.423
male,a9821,Maternal,0.507
female,a9875,Paternal,0.38
male,a9931,Paternal,0.383
female,a9876,Paternal,0.445
male,a9878,Paternal,0.325
male,a9881,Paternal,0.333
female,a9962,Paternal,0.578
male,a9960,Paternal,0.427
female,a9921,Paternal,0.534
male,a9926,Paternal,0.359
female,a9917,Paternal,0.589
male,a9963,Paternal,0.412
male,a9956,Paternal,0.379
female,a9874,Paternal,0.615
female,a9958,Paternal,0.473
male,a9880,Paternal,0.327
female,a9887,Paternal,0.494
male,a9954,Paternal,0.571
female,a9961,Paternal,0.572
male,a9873,Paternal,0.426
male,a9919,Paternal,0.468
female,a9929,Paternal,0.743
male,a9918,Paternal,0.261
female,a9957,Paternal,0.609
female,a9922,Paternal,0.598
male,a9897,Paternal,0.299
female,a9952,Paternal,0.55
female,a9928,Paternal,0.399
male,a9908,Paternal,0.327
female,a9955,Paternal,0.561
female,a9953,Paternal,0.509
female,a9910,Paternal,0.447
male,a9949,Paternal,0.44
male,a9941,Paternal,0.412
female,a9899,Paternal,0.529
female,a9898,Paternal,0.425
male,a9937,Paternal,0.353
female,a9927,Paternal,0.425
female,a9923,Paternal,0.562
female,a9903,Paternal,0.622
female,a9924,Paternal,0.544
male,a9975,Paternal,0.364
male,a9901,Paternal,0.317
female,a9964,Paternal,0.628
male,a9981,Paternal,0.327
male,a9983,Paternal,0.411
male,a9947,Paternal,0.315
male,a9973,Paternal,0.405
male,a9907,Paternal,0.313
male,a9682,Within_Control,0.288
male,a9554,Within_Control,0.318
male,a9558,Within_Control,0.347
female,a9556,Within_Control,0.454
female,a9685,Within_Control,0.377
female,a9598,Within_Control,0.732
male,a9706,Within_Control,0.428
female,a9673,Within_Control,0.44
female,a9679,Within_Control,0.539
female,a9603,Within_Control,0.405
male,a9559,Within_Control,0.273
