Mark,Sex,Fish_ID,Tank,Group,Weight_g,Length_cm,Age_Weeks,Set
Gre.Gre,female,a9804,HA_F1_M_A,,0.488,,21,Maternal
Red.Bro,male,a9760,HA_F1_M_A,,0.48,,21,Maternal
Red._,female,a9848,HA_F1_M_A,,0.576,,21,Maternal
Red.Blu,female,a9759,HA_F1_M_A,,0.625,,21,Maternal
Pin.Ora,male,a9858,HA_F1_M_A,,0.326,,21,Maternal
Bro.Yel,female,a9794,HA_F1_M_A,,0.35,,21,Maternal
Blu.Yel,female,a9845,HA_F1_M_A,,0.471,,21,Maternal
Gre.Whi,female,a9809,HA_F1_M_A,,0.478,,21,Maternal
Bro.Pin,male,a9793,HA_F1_M_A,,0.283,,21,Maternal
Bro.Gre,female,a9796,HA_F1_M_A,,0.473,,21,Maternal
_.Yel,male,a9764,HA_F1_M_A,,0.504,,21,Maternal
Whi.Ora,female,a9839,HA_F1_M_A,,0.583,,21,Maternal
_.Gre,male,a9803,HA_F1_M_A,,0.414,,21,Maternal
Gre.Blu,male,a9808,HA_F1_M_A,,0.387,,21,Maternal
_.Bla,male,a9800,HA_F1_M_A,,0.297,,21,Maternal
Yel._,male,a9763,HA_F1_M_A,,0.416,,21,Maternal
Red.Yel,female,a9761,HA_F1_M_A,,0.511,,21,Maternal
Red.Pur,female,a9762,HA_F1_M_A,,0.542,,21,Maternal
Red.Red,male,a9754,HA_F1_M_A,,0.428,,21,Maternal
Red.Gre,female,a9758,HA_F1_M_A,,0.776,,21,Maternal
Gre.Blu,male,a9808,HA_F1_M_A,,0.381,,24,Maternal
Red.Yel,female,a9761,HA_F1_M_A,,0.49,,24,Maternal
Red.Bro,male,a9760,HA_F1_M_A,,0.469,,24,Maternal
_.Yel,male,a9764,HA_F1_M_A,,0.497,,24,Maternal
_.Bla,male,a9800,HA_F1_M_A,,0.306,,24,Maternal
Gre.Gre,female,a9804,HA_F1_M_A,,0.525,,24,Maternal
Bro.Gre,female,a9796,HA_F1_M_A,,0.518,,24,Maternal
Red.Blu,female,a9759,HA_F1_M_A,,0.543,,24,Maternal
Red.Red,male,a9754,HA_F1_M_A,,0.43,,24,Maternal
Bro.Pin,male,a9793,HA_F1_M_A,,0.303,,24,Maternal
Red.Pur,female,a9762,HA_F1_M_A,,0.52,,24,Maternal
Whi.Ora,female,a9839,HA_F1_M_A,,0.563,,24,Maternal
Yel._,male,a9763,HA_F1_M_A,,0.42,,24,Maternal
Red.Gre,female,a9758,HA_F1_M_A,,0.72,,24,Maternal
Bro.Yel,female,a9794,HA_F1_M_A,,0.387,,24,Maternal
Pin.Ora,male,a9858,HA_F1_M_A,,0.327,,24,Maternal
Blu.Yel,female,a9845,HA_F1_M_A,,0.431,,24,Maternal
Gre.Whi,female,a9809,HA_F1_M_A,,0.435,,24,Maternal
_.Gre,male,a9803,HA_F1_M_A,,0.414,,24,Maternal
Red._,female,a9848,HA_F1_M_A,,0.518,,24,Maternal
Red.Pin,male,a9755,HA_F1_M_B,,0.368,,21,Maternal
_.Red,male,a9849,HA_F1_M_B,,0.25,,21,Maternal
Yel.Ora,female,a9778,HA_F1_M_B,,0.5,,21,Maternal
_.Ora,female,a10198,HA_F1_M_B,,0.431,,21,Maternal
Blu.Blu,male,a9843,HA_F1_M_B,,0.258,,21,Maternal
Yel.Yel,male,a9765,HA_F1_M_B,,0.412,,21,Maternal
Blu.Gre,male,a9846,HA_F1_M_B,,0.275,,21,Maternal
Pur.Pin,male,a9824,HA_F1_M_B,,0.37,,21,Maternal
Red._,male,a9752,HA_F1_M_B,,0.523,,21,Maternal
Red.Bla,male,a9756,HA_F1_M_B,,0.327,,21,Maternal
_.Blu,male,a9844,HA_F1_M_B,,0.229,,21,Maternal
_._,female,a9774,HA_F1_M_B,,0.692,,21,Maternal
Pin.Yel,female,a9854,HA_F1_M_B,,0.56,,21,Maternal
Gre.Pur,female,a9867,HA_F1_M_B,,0.529,,21,Maternal
